"variable","relative_importance","scaled_importance","percentage"
"L3_S32_F3854",232.275772094727,1,0.139711528166716
"L3_S38_F3960",127.920349121094,0.550726181932248,0.0769427964791754
"L1_S24_F1723",92.7089157104492,0.399132956805502,0.0557634753369967
"L3_S38_F3956",72.9644622802734,0.314128596462127,0.0438873862525896
"L3_S38_D3957",67.6945343017578,0.291440358549968,0.0407175778624718
"L3_S33_F3871",63.6744689941406,0.274133063555905,0.0382995492304191
"L1_S24_F1498",60.9474334716797,0.262392555719604,0.0366592649391562
"L1_S24_F1609",54.8171195983887,0.236000160946761,0.032971943133463
"L1_S24_F1632",42.6252479553223,0.183511382056407,0.0256386556230867
"L1_S24_F1604",30.0255641937256,0.129266879291571,0.0180600732471679
"L1_S24_F867",27.7984924316406,0.11967882909589,0.01672051210219
"L1_S24_F1846",25.3198738098145,0.109007812487169,0.0152296480646933
"L2_S26_F3117",24.7003173828125,0.106340481230816,0.0148569911387413
"L3_S30_F3609",20.4357643127441,0.0879806108422278,0.0122919055898088
"L3_S38_D3961",19.4132137298584,0.0835782981358095,0.0116768517541274
"L0_S12_F352",18.2118225097656,0.0784060358320044,0.0109542270835836
"L3_S30_D3666",15.3350219726562,0.0660207555629277,0.00922386065041786
"L3_S34_F3880",13.9995746612549,0.0602713513122909,0.00842060259651318
"L0_S12_F350",13.2648897171021,0.0571083656184872,0.0079786970316624
"L1_S24_F1844",12.6264848709106,0.0543598876328837,0.00759470297216116
"L3_S44_F4115",12.6082105636597,0.0542812125860367,0.00758371116113758
"L3_S33_F3865",11.6700277328491,0.0502421222308535,0.00701940367521149
"L3_S33_F3857",10.7578392028809,0.0463149432498436,0.00647073149839038
"L3_S33_F3873",10.0391511917114,0.0432208279889702,0.00603844792696981
"L3_S33_F3859",9.25552558898926,0.0398471416347921,0.00556710505087239
"L1_S24_F1581",9.05509757995605,0.0389842534944334,0.00544654963014593
"L1_S24_F1212",8.98760604858398,0.0386936871096425,0.00540595415649293
"L3_S38_F3952",8.65365123748779,0.0372559357329729,0.00520508371453461
"L2_S26_F3036",8.65219974517822,0.0372496867286257,0.00520421065658775
"L2_S26_D3126",8.60095691680908,0.0370290747039319,0.00517338861348582
"L3_S30_F3704",8.33172607421875,0.0358699747247892,0.00501144898410179
"L3_S32_D3852",7.31751585006714,0.031503569158659,0.00440141178986208
"L3_S38_D3953",7.29038572311401,0.0313867677948816,0.00438509329283678
"L2_S26_F3051",6.69194555282593,0.0288103468238471,0.00402513758177277
"L3_S29_F3373",6.63523817062378,0.028566208652695,0.00399102866479728
"L0_S16_F426",6.23129796981812,0.0268271542641859,0.00374806271861365
"L3_S30_F3829",6.11476182937622,0.0263254396884859,0.00367796740853909
"L3_S30_D3686",6.02176666259766,0.0259250743557613,0.00362203175607916
"L3_S29_F3348",5.75614356994629,0.0247815065602228,0.00346226215180224
"L0_S3_F72",5.71455907821655,0.0246024758703032,0.00343724950052482
"L3_S33_F3855",5.7059383392334,0.0245653616293068,0.00343206421319846
"L3_S34_D3877",5.64192247390747,0.024289758776936,0.00339355931752664
"L2_S26_D3074",5.50669431686401,0.0237075708206807,0.00331222094847795
"L3_S34_D3883",5.49689769744873,0.0236653941471218,0.00330632838096204
"L3_S30_F3709",5.28137016296387,0.0227374991172563,0.00317669074836124
"L2_S26_F3106",5.21663856506348,0.0224588148734515,0.00313775534678329
"L1_S24_F1836",5.16375684738159,0.0222311470577126,0.00310594752833202
"L3_S30_F3804",5.10559034347534,0.0219807270359355,0.003070960964406
"L0_S4_F104",5.09340858459473,0.0219282817947863,0.00306363375961998
"L1_S24_D1800",4.99866771697998,0.0215204008231277,0.00300664808575943
"L1_S24_D1795",4.89215517044067,0.0210618400977505,0.00294258186605975
"L3_S30_D3646",4.7340874671936,0.020381322703183,0.00284750574092068
"L3_S30_F3744",4.49390363693237,0.0193472767151095,0.00270303759573227
"L1_S24_F1667",4.37772417068481,0.0188470977028956,0.00263315682157895
"L3_S33_F3861",4.35757637023926,0.0187603568419618,0.00262103812334339
"L3_S32_F3850",4.26917457580566,0.0183797670213517,0.00256786533790126
"L1_S24_F1197",4.26762962341309,0.0183731156501017,0.00256693606465952
"L1_S24_F1672",4.22075796127319,0.0181713224896822,0.00253874323384371
"L1_S24_F1700",4.1375994682312,0.0178133062734748,0.00248872424116892
"L3_S29_F3458",4.07626676559448,0.01754925504642,0.0024518332407228
"L3_S30_F3629",3.95551133155823,0.0170293754526628,0.00237920006821628
"L3_S35_F3889",3.94626188278198,0.0169895544730882,0.00237363661830683
"L3_S29_F3479",3.91149568557739,0.01683987809104,0.00235272510224041
"L1_S24_F1575",3.73097634315491,0.016062701286096,0.00224414454316595
"L0_S17_D432",3.701740026474,0.0159368322967595,0.00222655919431696
"L1_S24_F1180",3.67002367973328,0.015800286214253,0.00220748213246478
"L2_S27_F3162",3.65169453620911,0.0157213750847845,0.00219645733797737
"L3_S36_D3921",3.60483884811401,0.015519650696259,0.00216827411538798
"L3_S30_F3589",3.59191799163818,0.0154640234719501,0.00216050235087212
"L1_S24_F1748",3.58299779891968,0.0154256200145509,0.00215513694515199
"L1_S24_F1361",3.58164882659912,0.0154198123820613,0.00215432555194184
"L1_S24_F839",3.54891777038574,0.0152788977446103,0.0021346381526025
"L0_S9_F190",3.54220771789551,0.0152500094433049,0.00213060212388098
"L0_S10_F224",3.50644516944885,0.0150960435426681,0.00210909131261745
"L3_S30_F3754",3.34815144538879,0.0144145530771214,0.00201387923824488
"L3_S30_F3604",3.3381187915802,0.0143713602218438,0.00200784469842815
"L3_S34_D3881",3.31765699386597,0.0142832675312902,0.00199553713401059
"L1_S24_F1298",3.26937747001648,0.0140754132061744,0.00196649748861261
"L3_S33_D3870",3.24468231201172,0.013969094937239,0.0019516436007876
"L3_S30_F3769",3.20567989349365,0.0138011806594547,0.00192818404043735
"L3_S35_F3896",3.20349097251892,0.0137917568570711,0.00192686742660519
"L3_S33_D3874",3.16593766212463,0.0136300813191722,0.00190427949013816
"L3_S30_F3554",3.11615133285522,0.0134157398541954,0.00187433351651675
"L1_S24_F1494",3.11425065994263,0.013407557025244,0.00187319028097923
"L1_S24_F1578",3.11350226402283,0.0134043350106833,0.00187274012840117
"L3_S29_F3367",3.09246039390564,0.0133137449765724,0.00186008365629887
"L3_S29_F3473",3.04474067687988,0.0131083007470886,0.00183138072904465
"L1_S24_F1102",2.98850274085999,0.012866183648466,0.0017975541792008
"L0_S0_F20",2.96146559715271,0.012749782598699,0.00178129161065764
"L0_S5_F114",2.89880132675171,0.0124799986697257,0.00174359968566597
"L1_S25_F2997",2.89645552635193,0.0124698994657553,0.00174218871044599
"L1_S24_F1565",2.84961366653442,0.0122682346111083,0.00171401380542574
"L3_S29_F3351",2.79846405982971,0.012048023926871,0.00168324783421232
"L3_S33_F3867",2.73517823219299,0.0117755640527051,0.00164518204882849
"L3_S30_F3639",2.73511981964111,0.0117753125733909,0.00164514691426919
"L2_S26_F3062",2.73170447349548,0.0117606087318545,0.00164309261809822
"L0_S16_F421",2.65138864517212,0.0114148308334579,0.00159478345950695
"L2_S27_F3144",2.62774252891541,0.0113130289277168,0.00158056055968559
"L1_S24_F1850",2.607661485672,0.0112265754717136,0.00156848201523208
"L3_S30_F3759",2.60572338104248,0.0112182314907119,0.00156731626489534
"L1_S24_F1406",2.57844543457031,0.0111007937303025,0.00155090885592406
"L3_S34_D3875",2.54224181175232,0.0109449289042317,0.00152913274288628
"L3_S36_F3924",2.48177075386047,0.0106845872536734,0.00149276001304134
"L2_S27_F3166",2.47342371940613,0.0106486513728923,0.00148773935622138
"L0_S9_F180",2.4525454044342,0.0105587654808613,0.0014751812608851
"L3_S44_F4112",2.38990068435669,0.0102890657204749,0.00143750109521532
"L3_S30_F3664",2.38227534294128,0.0102562368922823,0.00143291452946061
"L1_S24_F902",2.36231970787048,0.01017032334697,0.00142091141675481
"L0_S10_F249",2.35558843612671,0.0101413436919545,0.00141686262486685
"L3_S49_F4236",2.33612728118896,0.0100575589960207,0.00140515693696095
"L3_S29_F3442",2.29575395584106,0.00988374265269824,0.00138087279001502
"L1_S24_F1207",2.28394842147827,0.00983291714362199,0.00137377188047213
"L0_S1_F28",2.25243186950684,0.00969723122301473,0.00135481499315338
"L1_S24_F1516",2.21776556968689,0.00954798492191619,0.00133396356435368
"L0_S2_F44",2.18295192718506,0.00939810427707806,0.00131302351042073
"L1_S25_F2999",2.18100762367249,0.00938973360847565,0.00131185403151851
"L1_S24_F1834",2.17566990852356,0.00936675353138544,0.00130864344983085
"L1_S24_F1831",2.14213085174561,0.00922236026782855,0.00128847004632233
"L3_S34_D3879",2.11538052558899,0.00910719403281672,0.00127237999563562
"L3_S30_D3631",2.08787894248962,0.00898879346588996,0.00125583807149448
"L3_S30_F3579",2.07811498641968,0.00894675741545779,0.00124996515065051
"L3_S29_F3382",2.07340908050537,0.00892649742074604,0.00124713459582868
"L1_S25_F3003",2.07321953773499,0.0089256813960325,0.00124702058776893
"L3_S29_F3421",2.07173824310303,0.00891930408591272,0.0012461296040265
"L3_S37_D3945",2.03643465042114,0.00876731409417356,0.00122489485001458
"L3_S30_F3689",2.01796364784241,0.0086877922292276,0.00121378472874031
"L3_S30_F3649",2.00874829292297,0.00864811803145688,0.00120824178594097
"L1_S24_F1753",1.97970354557037,0.0085230737916265,0.00119077166410583
"L0_S9_F155",1.96107769012451,0.00844288524988627,0.00117956840039784
"L1_S24_F816",1.95618271827698,0.00842181128335334,0.00117662412432899
"L3_S33_D3872",1.91932129859924,0.00826311449227045,0.00115445235313164
"L0_S15_F397",1.91471838951111,0.0082432979223087,0.00115168374985927
"L0_S3_F96",1.90249216556549,0.00819066124894687,0.00114432979978627
"L1_S25_D1879",1.86429369449615,0.00802620814768343,0.001121353805697
"L2_S26_F3073",1.85785937309265,0.00799850693138577,0.00111748362643598
"L0_S13_F356",1.83493757247925,0.00789982336914125,0.00110369639514986
"L0_S0_F8",1.81035912036896,0.00779400754561116,0.00108891270474025
"L1_S24_F1848",1.80419445037842,0.0077674672399437,0.00108520471807744
"L3_S29_F3339",1.76851582527161,0.00761386264836253,0.00106374438585421
"L1_S24_D1790",1.73421084880829,0.00746617192645061,0.00104311028939985
"L3_S36_F3920",1.72615265846252,0.0074314795852172,0.00103826336939045
"L1_S24_F1733",1.71793270111084,0.00739609080025029,0.00103331914816276
"L1_S24_F1798",1.70369100570679,0.00733477706410115,0.00102475291238775
"L0_S6_F132",1.64503073692322,0.00708223127228415,0.000989469353880925
"L3_S29_D3477",1.60377895832062,0.00690463298800947,0.000964656826185123
"L0_S0_F16",1.58758234977722,0.00683490290640289,0.000954914729924678
"L1_S24_F1514",1.58740770816803,0.00683415103457563,0.000954809684762707
"L3_S30_F3494",1.56665170192719,0.00674479170943526,0.000942325156891398
"L1_S25_D2163",1.56456255912781,0.00673579747477816,0.000941068558622766
"L3_S29_F3412",1.56437695026398,0.0067349983864266,0.000940956916768029
"L2_S26_F3121",1.56256926059723,0.00672721587148565,0.000939869609712649
"L1_S24_F1184",1.55760657787323,0.00670585039423745,0.000936884606236291
"L0_S10_F229",1.54650902748108,0.00665807291709435,0.000930209541892678
"L1_S24_F1842",1.52056050300598,0.00654635862058772,0.000914601766809667
"L0_S2_F60",1.51671838760376,0.00652981744038811,0.000912290773246299
"L2_S26_F3069",1.51193296909332,0.00650921512587515,0.000909412392401921
"L3_S30_F3519",1.47200846672058,0.0063373310674876,0.0008853982079371
"L3_S29_F3401",1.46918296813965,0.00632516665380187,0.000883698699111815
"L0_S13_F354",1.45202541351318,0.00625129948086458,0.00087337860349939
"L1_S24_F1571",1.42864716053009,0.00615065078740739,0.000859316820728504
"L3_S33_D3866",1.42084980010986,0.00611708137829551,0.000854626787281828
"L1_S24_F1326",1.415931224823,0.00609590579359071,0.000851668313982897
"L0_S0_F12",1.41104471683502,0.00607486826589719,0.000848729128839986
"L3_S29_D3480",1.3971608877182,0.00601509522546506,0.000840378146018042
"L1_S24_F1490",1.39239597320557,0.00599458118532363,0.000837512098121009
"L0_S12_F348",1.38189601898193,0.00594937649553209,0.000831196481829931
"L1_S24_F1518",1.36798644065857,0.00588949259891246,0.000822830011120625
"L0_S3_F100",1.28380632400513,0.00552707806082145,0.000772196522174096
"L1_S25_F2454",1.28048503398895,0.00551277915230326,0.000770198799813903
"L1_S25_F2773",1.22690832614899,0.005282119245948,0.000737972951810218
"L0_S21_F527",1.21139931678772,0.00521534943512614,0.000728644439504893
"L1_S24_F1758",1.19671320915222,0.00515212240329645,0.000719810894266522
"L3_S30_D3696",1.19132876396179,0.00512894114275485,0.000716572204931424
"L3_S40_F3982",1.18104958534241,0.0050846869421265,0.000710389382933841
"L1_S24_F1773",1.17352151870728,0.00505227690397555,0.00070586132697583
"L3_S36_D3936",1.15846133232117,0.00498743937808858,0.000696802777151612
"L0_S11_F282",1.15228688716888,0.00496085698812771,0.000693088910827856
"L3_S30_F3749",1.1449693441391,0.00492935330195419,0.000688687482689668
"L0_S16_D423",1.13499450683594,0.00488640935987532,0.000682687718916326
"L3_S30_F3564",1.12503671646118,0.00484353880869835,0.000676698208698043
"L3_S29_F3379",1.10749161243439,0.00476800314749457,0.000666145006040179
"L1_S25_F2111",1.09382259845734,0.00470915493507112,0.00065792323235262
"L3_S30_F3679",1.08083343505859,0.00465323363393152,0.000650110381913335
"L0_S5_D117",1.06960904598236,0.00460491008742037,0.000643359025383827
"L3_S29_F3461",1.06401264667511,0.00458081631622425,0.000639992847790718
"L3_S30_F3794",1.06222498416901,0.00457312002276247,0.000638917586869953
"L3_S31_D3840",1.05446457862854,0.00453970971280857,0.00063424978140977
"L3_S36_D3923",1.05286383628845,0.00453281815315234,0.000633286951078746
"L3_S30_D3571",1.05083477497101,0.00452408258293275,0.000632066491213959
"L1_S24_F1738",1.03914427757263,0.00447375233413861,0.00062503477524192
"L3_S44_F4121",1.03696823120117,0.00446438395984871,0.000623725905353439
"L0_S1_F24",1.025923371315,0.00441683332731152,0.000617082533816374
"L1_S25_F3034",1.0129234790802,0.00436086583609379,0.000609263230090688
