,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,410.479999971,1.82740006447,0.876462313792,0.949319301154,0.4,0.002,19,90,2,0.6,"{'reg_alpha': 2, 'colsample_bytree': 0.4, 'learning_rate': 0.002, 'n_estimators': 90, 'subsample': 0.6, 'max_depth': 19}",5,0.876185352206,0.949850725206,0.885984886547,0.947710505901,0.885213605065,0.949928360176,0.864237822137,0.950090198227,0.870689802607,0.949016716263,22.7724109201,0.0384893968344,0.00836781040287,0.000886276085046
1,181.622399998,1.72700004578,0.871149838946,0.934682389741,0.2,0.002,15,90,3,0.8,"{'reg_alpha': 3, 'colsample_bytree': 0.2, 'learning_rate': 0.002, 'n_estimators': 90, 'subsample': 0.8, 'max_depth': 15}",19,0.873878274267,0.935110515971,0.880436781302,0.932207753263,0.876249412489,0.932685351736,0.863956517644,0.936681708359,0.861228094827,0.936726619373,3.64160881928,0.0210524094136,0.00734686081913,0.00192205245936
2,357.680400038,1.99920005798,0.87496171396,0.957390086652,0.3,0.002,21,90,2,0.8,"{'reg_alpha': 2, 'colsample_bytree': 0.3, 'learning_rate': 0.002, 'n_estimators': 90, 'subsample': 0.8, 'max_depth': 21}",13,0.874664254338,0.957323352695,0.883583605488,0.954309665668,0.883841507756,0.956491895735,0.865977311284,0.959519089075,0.866741783544,0.959306430087,8.57829210566,0.107922998655,0.00776611657905,0.00192380961939
3,255.906799936,1.7218000412,0.876269541528,0.943078074944,0.3,0.005,15,90,3,0.8,"{'reg_alpha': 3, 'colsample_bytree': 0.3, 'learning_rate': 0.005, 'n_estimators': 90, 'subsample': 0.8, 'max_depth': 15}",6,0.877245964784,0.942697676031,0.883102481039,0.939192417279,0.884482158442,0.942185647222,0.866254313169,0.946174897505,0.870262697158,0.945139736687,6.10976213352,0.0329812244156,0.00709191692723,0.00244459506586
4,218.714999962,1.64119997025,0.875089565215,0.928067579239,0.3,0.002,13,90,3,0.8,"{'reg_alpha': 3, 'colsample_bytree': 0.3, 'learning_rate': 0.002, 'n_estimators': 90, 'subsample': 0.8, 'max_depth': 13}",11,0.875702145161,0.927644043519,0.883041414199,0.924925429887,0.883644280201,0.926327434199,0.8653230013,0.930957216942,0.867736881847,0.930483771647,2.89423309743,0.0213391950368,0.00756621297872,0.00233531931959
5,203.182800007,1.8297999382,0.872739957881,0.955138628864,0.2,0.005,17,90,2,0.8,"{'reg_alpha': 2, 'colsample_bytree': 0.2, 'learning_rate': 0.005, 'n_estimators': 90, 'subsample': 0.8, 'max_depth': 17}",17,0.8741178747,0.954756960292,0.880264947834,0.952233375401,0.878424186144,0.954269296951,0.866073686951,0.957056310984,0.864818998703,0.957377200692,1.4593045803,0.0264302589374,0.00629309345254,0.00189897946797
6,157.588000107,1.65799994469,0.87500934837,0.945492735872,0.2,0.01,13,90,2,0.8,"{'reg_alpha': 2, 'colsample_bytree': 0.2, 'learning_rate': 0.01, 'n_estimators': 90, 'subsample': 0.8, 'max_depth': 13}",12,0.877030691667,0.945015902596,0.881832279642,0.941324245607,0.882168605775,0.944139683014,0.867484053515,0.948718615703,0.866531007843,0.948265232442,2.26718086535,0.0258842874713,0.00678830236039,0.00273961570354
7,254.721600008,1.9295999527,0.872267536943,0.9643089885,0.2,0.01,21,90,2,0.6,"{'reg_alpha': 2, 'colsample_bytree': 0.2, 'learning_rate': 0.01, 'n_estimators': 90, 'subsample': 0.6, 'max_depth': 21}",18,0.874564021107,0.964852601618,0.879211643639,0.9629070204,0.879644341941,0.96373507177,0.863982339474,0.964429076008,0.863935233168,0.965621172705,1.21857284605,0.0524197845194,0.00701403221503,0.000930232077072
8,254.91619997,1.7513999939,0.877872219212,0.951402243182,0.3,0.01,15,90,3,0.8,"{'reg_alpha': 3, 'colsample_bytree': 0.3, 'learning_rate': 0.01, 'n_estimators': 90, 'subsample': 0.8, 'max_depth': 15}",3,0.877954013464,0.950379492638,0.884840063913,0.948129698646,0.887669326943,0.950819917697,0.868339746295,0.953947293531,0.870557843392,0.953734813397,3.31263113282,0.0307414823221,0.00760143275892,0.00219147596281
9,283.259200001,1.7728000164,0.874438093882,0.943411078049,0.3,0.005,17,90,3,0.6,"{'reg_alpha': 3, 'colsample_bytree': 0.3, 'learning_rate': 0.005, 'n_estimators': 90, 'subsample': 0.6, 'max_depth': 17}",15,0.87578707463,0.943187014518,0.883545139986,0.940458940819,0.883964316081,0.942647195929,0.863908826147,0.946148747867,0.864984988237,0.944613491113,2.87604460695,0.0286733264332,0.00866871803206,0.00191256204062
10,290.740600061,1.81979994774,0.876124328575,0.95938696797,0.3,0.01,17,90,2,0.6,"{'reg_alpha': 2, 'colsample_bytree': 0.3, 'learning_rate': 0.01, 'n_estimators': 90, 'subsample': 0.6, 'max_depth': 17}",7,0.876026005051,0.959594650568,0.884167880964,0.956656903292,0.885896292079,0.959118760922,0.865248731504,0.960856905836,0.869282629544,0.96070761923,4.57924102258,0.0272865975231,0.00806581750243,0.0015148041001
11,286.404999971,1.64240002632,0.878614591402,0.94748507928,0.4,0.01,13,90,2,0.6,"{'reg_alpha': 2, 'colsample_bytree': 0.4, 'learning_rate': 0.01, 'n_estimators': 90, 'subsample': 0.6, 'max_depth': 13}",1,0.878181241825,0.947727459635,0.888691562016,0.945154829393,0.888850949311,0.948265090826,0.86621631991,0.948434784268,0.871132768376,0.947843232276,4.66283053627,0.0317275500994,0.00912371521114,0.00119393834968
12,247.773600006,1.88220000267,0.868625099594,0.940819535917,0.2,0.002,21,90,3,0.6,"{'reg_alpha': 3, 'colsample_bytree': 0.2, 'learning_rate': 0.002, 'n_estimators': 90, 'subsample': 0.6, 'max_depth': 21}",20,0.869539004081,0.941490831515,0.876301520616,0.939001131124,0.877336895033,0.939208917725,0.860004624402,0.941950631529,0.859943344085,0.942446167692,3.88349814455,0.0331324962591,0.00755437998346,0.00143364102496
13,249.737200022,1.95659999847,0.874018538734,0.963123639978,0.2,0.01,21,90,3,0.8,"{'reg_alpha': 3, 'colsample_bytree': 0.2, 'learning_rate': 0.01, 'n_estimators': 90, 'subsample': 0.8, 'max_depth': 21}",16,0.875282300598,0.963349467542,0.88085986786,0.960959195906,0.880105850775,0.962752145747,0.865939356621,0.96400788363,0.867905232044,0.964549507065,2.61175805688,0.0309424769637,0.00613354438709,0.00124006515784
14,404.437400055,1.8517999649,0.875429814975,0.941991356947,0.4,0.002,19,90,3,0.6,"{'reg_alpha': 3, 'colsample_bytree': 0.4, 'learning_rate': 0.002, 'n_estimators': 90, 'subsample': 0.6, 'max_depth': 19}",9,0.875144806035,0.943255285637,0.884396427736,0.940363857426,0.88432925205,0.941903134525,0.864853933536,0.943277297648,0.868424551669,0.9411572095,3.76180217788,0.0297012328795,0.00800754971846,0.00114921704374
15,220.337999964,1.67919998169,0.878241754886,0.948357684674,0.3,0.01,13,90,2,0.8,"{'reg_alpha': 2, 'colsample_bytree': 0.3, 'learning_rate': 0.01, 'n_estimators': 90, 'subsample': 0.8, 'max_depth': 13}",2,0.878114791729,0.947279993521,0.885681000436,0.945329913496,0.88747013721,0.94735939136,0.868360941315,0.951088702972,0.871581805745,0.950730422021,2.69603037349,0.0279528411571,0.00751673948694,0.0022096945277
16,321.242400074,1.73859996796,0.877413976986,0.944528687085,0.4,0.002,15,90,2,0.8,"{'reg_alpha': 2, 'colsample_bytree': 0.4, 'learning_rate': 0.002, 'n_estimators': 90, 'subsample': 0.8, 'max_depth': 15}",4,0.877989139711,0.94553714683,0.887118976632,0.943051909249,0.88672094761,0.943849443686,0.867453022857,0.94637615065,0.867787674728,0.943828785007,5.22305660195,0.0161195942939,0.00863740213574,0.00122981461779
17,183.11500001,1.7470000267,0.874768908137,0.956297740302,0.2,0.01,15,90,2,0.8,"{'reg_alpha': 2, 'colsample_bytree': 0.2, 'learning_rate': 0.01, 'n_estimators': 90, 'subsample': 0.8, 'max_depth': 15}",14,0.877722196908,0.95606561098,0.882081240178,0.952834210583,0.881133316267,0.955379004144,0.867011079902,0.958912321464,0.86589659971,0.95829755434,0.77461449135,0.0245764850282,0.00695124814858,0.00217849898332
18,352.071200085,1.98999996185,0.875939656141,0.963403102866,0.3,0.005,21,90,2,0.8,"{'reg_alpha': 2, 'colsample_bytree': 0.3, 'learning_rate': 0.005, 'n_estimators': 90, 'subsample': 0.8, 'max_depth': 21}",8,0.875059634187,0.963427494519,0.88336883102,0.960645119479,0.884795554406,0.962606235026,0.868274132663,0.965298433305,0.868200030667,0.965038232003,7.53739048425,0.0413134472253,0.00711415422747,0.00170340778678
19,321.076200008,1.90120000839,0.875157219403,0.954655635809,0.3,0.005,19,90,2,0.6,"{'reg_alpha': 2, 'colsample_bytree': 0.3, 'learning_rate': 0.005, 'n_estimators': 90, 'subsample': 0.6, 'max_depth': 19}",10,0.875665769974,0.954565831152,0.883577268159,0.952067689313,0.884881910353,0.953991530694,0.864402313957,0.956684263885,0.867258722422,0.955968864003,2.81553997319,0.0297684589445,0.00829191847736,0.00161161209414
